Front	Back	Tags
03_01_连续半年测试相比精选漂亮图例，为什么更能暴露系统在顺境和逆境中的真实边界？	<b>核心答案：</b><br>它把顺境与逆境放进同一证据，减少只展示漂亮案例造成的错觉。<br><b>原文引用：</b><p>“2019年1月7日~1月11日操作”</p><p>“注意，1号单，以及6号单，都基于特殊规则③，即收盘价站上均线后进场。”</p><p>“另外，1号单有人可能会说，之前的下跌那么厉害，应该击破了前期的阶梯低点，这个多单是否不符合进场规则呢？注意我的规则是，价格未形成连续的下降阶梯，且在均线之上，就可以进场。”</p><br><b>总结提炼：</b><br>证据焦点：它把顺境与逆境放进同一证据，减少只展示漂亮案例造成的错觉。<br>检验方式：将样本、回撤、执行偏差和设定条件放在同一份记录中。<br>复盘提醒：测试用于暴露系统边界，不构成收益承诺。<br><b>举例说明：</b><br><b>正面例子：</b>交易者围绕“连续样本”按固定规则保留连续样本，同时记录顺境、逆境、回撤和执行偏差；只有把同一设定下的完整样本放在一起，才据此决定是否修正规则。<br><b>反面例子：</b>交易者只挑出“连续样本”中几笔漂亮交易证明方法有效，忽略回撤、漏执行和不利样本，随后把模拟结果当成收益保证；一旦环境转差便无从判断是规则失效还是自己未按规则执行。	交易的真相：从1000到1.83亿 第10章 为期半年的系统操作测试 连续样本 因果推理 主动回忆
04_01_诊断：若交易者把“复利设定的边界”当作无需样本验证的通用规律，他最可能忽略哪些条件、证据或风险边界？	<b>核心答案：</b><br>起点资金和按周调整只是特定模拟设定，不能脱离品种、样本与执行条件外推。<br><b>原文引用：</b><p>“如图10.4所示。”</p><p>“1号单子的止损离场，说明这个上升趋势确实被破坏了，然而却未创新低，止损之后几根K线，再出现买点，说明进入震荡了，这符合特殊规则⑤。所以不进场。”</p><p>“本周交易结果：”</p><br><b>总结提炼：</b><br>证据焦点：起点资金和按周调整只是特定模拟设定，不能脱离品种、样本与执行条件外推。<br>检验方式：将样本、回撤、执行偏差和设定条件放在同一份记录中。<br>复盘提醒：测试用于暴露系统边界，不构成收益承诺。<br><b>举例说明：</b><br><b>正面例子：</b>交易者围绕“复利设定的边界”按固定规则保留连续样本，同时记录顺境、逆境、回撤和执行偏差；只有把同一设定下的完整样本放在一起，才据此决定是否修正规则。<br><b>反面例子：</b>交易者只挑出“复利设定的边界”中几笔漂亮交易证明方法有效，忽略回撤、漏执行和不利样本，随后把模拟结果当成收益保证；一旦环境转差便无从判断是规则失效还是自己未按规则执行。	交易的真相：从1000到1.83亿 第10章 为期半年的系统操作测试 复利设定的边界 边界反例 主动回忆
01_01_投机与投资虽然周期不同，为什么仍会受到少数盈利、多数亏损的淘汰机制约束？	<b>核心答案：</b><br>二者周期可能不同，但都受少数盈利、多数亏损的淘汰机制影响。<br><b>原文引用：</b><p>“在现实中，总有人能够以各种各样的方式，获得一定的优势。而在投机市场，绝大多数能够获取优势的方法都被拦住了，这也就是这个战场淘汰率特别高的最直接原因。”</p><p>“在投机交易的磨炼中，其实能领悟到的东西绝不止于K线交易。很多人看不起投机，觉得是一群在市场中兴风作浪的人干的事。”</p><br><b>总结提炼：</b><br>关键判断：二者周期可能不同，但都受少数盈利、多数亏损的淘汰机制影响。<br>检验方式：把“投机与投资”对应的条件、证据和动作分开记录。<br>复盘提醒：能被复核并能指导动作的判断，才值得进入系统。<br><b>举例说明：</b><br><b>正面例子：</b>交易者围绕“投机与投资”先列出信息、技术、资源和执行上的可验证优势，以小资金检验稳定性后再决定是否扩大投入；无法说明优势来源时就保留职业和资金边界。<br><b>反面例子：</b>交易者把“投机与投资”中的一次灵感、偶然先机或参与愿望当作优势，在没有长期证据的情况下追加资金甚至把交易当成职业出口；当优势消失时才发现没有替代方案。	交易的真相：从1000到1.83亿 第11章 K线交易之外 投机与投资 概念回忆 主动回忆
03_01_普通投资者为什么常在信息、技术、资金和分配位置上缺乏真正项目优势？	<b>核心答案：</b><br>在信息、技术、资金和分配位置上都可能处于劣势，单靠参与愿望不能形成优势。<br><b>原文引用：</b><p>“这似乎是一个“技术+基本面分析”的过程，通过技术+基本面分析，让自己在市场上获利，是众多人在市场上的选择。现在我们接下来再看下一段话：”</p><p>“在12月6日的2019东京论坛上，当被问及“5分钟决定投资马云”一事，孙正义表示：“我记得其实应该是十分钟。”</p><br><b>总结提炼：</b><br>关键判断：在信息、技术、资金和分配位置上都可能处于劣势，单靠参与愿望不能形成优势。<br>检验方式：把“普通人缺乏优势”对应的条件、证据和动作分开记录。<br>复盘提醒：能被复核并能指导动作的判断，才值得进入系统。<br><b>举例说明：</b><br><b>正面例子：</b>交易者围绕“普通人缺乏优势”先列出信息、技术、资源和执行上的可验证优势，以小资金检验稳定性后再决定是否扩大投入；无法说明优势来源时就保留职业和资金边界。<br><b>反面例子：</b>交易者把“普通人缺乏优势”中的一次灵感、偶然先机或参与愿望当作优势，在没有长期证据的情况下追加资金甚至把交易当成职业出口；当优势消失时才发现没有替代方案。	交易的真相：从1000到1.83亿 第11章 K线交易之外 普通人缺乏优势 因果推理 主动回忆
04_01_诊断：若交易者把“先机不是优势”当作无需样本验证的通用规律，他最可能忽略哪些条件、证据或风险边界？	<b>核心答案：</b><br>先机只有在能被验证并转化为更好条件时才有意义，靠感觉抄底不构成优势。<br><b>原文引用：</b><p>“很多人写交易书籍，喜欢通过讲故事来告诉大家交易的哲学。而我在这本书上，用的都是最实用的文字。如果你觉得看不懂本书，那说明你可能进入市场不久，不如就此离开市场，以免越陷越深。如果你觉得有所共鸣，那么你处在中期，建议你减少投入本金，不要贪心，不要专职交易，继续修炼。”</p><br><b>总结提炼：</b><br>关键判断：先机只有在能被验证并转化为更好条件时才有意义，靠感觉抄底不构成优势。<br>检验方式：把“先机不是优势”对应的条件、证据和动作分开记录。<br>复盘提醒：能被复核并能指导动作的判断，才值得进入系统。<br><b>举例说明：</b><br><b>正面例子：</b>交易者围绕“先机不是优势”先列出信息、技术、资源和执行上的可验证优势，以小资金检验稳定性后再决定是否扩大投入；无法说明优势来源时就保留职业和资金边界。<br><b>反面例子：</b>交易者把“先机不是优势”中的一次灵感、偶然先机或参与愿望当作优势，在没有长期证据的情况下追加资金甚至把交易当成职业出口；当优势消失时才发现没有替代方案。	交易的真相：从1000到1.83亿 第11章 K线交易之外 先机不是优势 边界反例 主动回忆
05_01_决策：围绕“风险前的自我审视”作出下一步操作前，交易者应先核对什么，并据此如何决定继续、缩小或放弃？	<b>核心答案：</b><br>要问自己在信息、技术、资源、战略或执行上到底有什么可验证的优势。<br><b>原文引用：</b><p>“这似乎是一个“技术+基本面分析”的过程，通过技术+基本面分析，让自己在市场上获利，是众多人在市场上的选择。现在我们接下来再看下一段话：”</p><p>“在12月6日的2019东京论坛上，当被问及“5分钟决定投资马云”一事，孙正义表示：“我记得其实应该是十分钟。”</p><br><b>总结提炼：</b><br>风险焦点：要问自己在信息、技术、资源、战略或执行上到底有什么可验证的优势。<br>检验方式：先定义最大可承受损失和触发后的动作，再考虑收益空间。<br>复盘提醒：风险边界应先于临场解释。<br><b>举例说明：</b><br><b>正面例子：</b>交易者围绕“风险前的自我审视”先写清条件、证据和下一步动作，再用连续记录检验判断是否仍然成立；复盘时能明确指出哪项事实支持或推翻了原来的结论。<br><b>反面例子：</b>交易者只凭“风险前的自我审视”的单次经验下结论，未定义失效边界，等到结果恶化才临时改变规则；这样既无法积累可比样本，也无法区分判断错误和执行偏差。	交易的真相：从1000到1.83亿 第11章 K线交易之外 风险前的自我审视 应用判断 主动回忆
01_01_选择交易品种时，为什么活跃市场更可能让重要位置入场后迅速离开成本区？	<b>核心答案：</b><br>活跃市场通常有更强惯性，重要位置入场后更可能快速离开成本区。<br><b>原文引用：</b><p>“1 你主要参与哪些市场？为什么会选择这一市场，而非别的市场？”</p><p>“在短线上我喜欢参与那些比较活跃的市场，这样的市场，具备较大的“惯性”，在一些重要位置进场后，行情通常可以迅速拉开距离。国内期货比较活跃的有镍、PP等品种，香港有恒生指数，外盘有道琼斯指数、原油等产品。”</p><br><b>总结提炼：</b><br>关键判断：活跃市场通常有更强惯性，重要位置入场后更可能快速离开成本区。<br>检验方式：把“选择活跃品种”对应的条件、证据和动作分开记录。<br>复盘提醒：能被复核并能指导动作的判断，才值得进入系统。<br><b>举例说明：</b><br><b>正面例子：</b>交易者围绕“选择活跃品种”先写清条件、证据和下一步动作，再用连续记录检验判断是否仍然成立；复盘时能明确指出哪项事实支持或推翻了原来的结论。<br><b>反面例子：</b>交易者只凭“选择活跃品种”的单次经验下结论，未定义失效边界，等到结果恶化才临时改变规则；这样既无法积累可比样本，也无法区分判断错误和执行偏差。	交易的真相：从1000到1.83亿 附录 作者访谈 选择活跃品种 概念回忆 主动回忆
02_01_诊断：若交易者把“警惕假开悟”当作无需样本验证的通用规律，他最可能忽略哪些条件、证据或风险边界？	<b>核心答案：</b><br>绝大多数开悟感可能是假象，只有市场检验和小规模试探才能证明方法。<br><b>原文引用：</b><p>“3 谈谈最让你得意的一笔交易？”</p><p>“最让我得意的交易，不是发生在K线的市场中。我曾经投入过2017~2018年火热的区块链市场，当时有一个知名的虚拟货币，EOS。”</p><p>“这个币在主网上线的时候推出了一种机制，叫“内存”，并非在交易所里买卖，而是通过EOS自己的命令行买卖。”</p><br><b>总结提炼：</b><br>关键判断：绝大多数开悟感可能是假象，只有市场检验和小规模试探才能证明方法。<br>检验方式：把“警惕假开悟”对应的条件、证据和动作分开记录。<br>复盘提醒：能被复核并能指导动作的判断，才值得进入系统。<br><b>举例说明：</b><br><b>正面例子：</b>交易者围绕“警惕假开悟”先列出信息、技术、资源和执行上的可验证优势，以小资金检验稳定性后再决定是否扩大投入；无法说明优势来源时就保留职业和资金边界。<br><b>反面例子：</b>交易者把“警惕假开悟”中的一次灵感、偶然先机或参与愿望当作优势，在没有长期证据的情况下追加资金甚至把交易当成职业出口；当优势消失时才发现没有替代方案。	交易的真相：从1000到1.83亿 附录 作者访谈 警惕假开悟 边界反例 主动回忆
04_01_决策：当“回撤与策略”相关信号与仓位风险发生冲突时，应优先遵循什么规则，为什么？	<b>核心答案：</b><br>暂停交易并考虑更换策略，而不是在回撤中继续放大风险。<br><b>原文引用：</b><p>“只能说靠着信念撑下去，由于长期不能盈利，欠下一屁股债，绝大多数债务并非我在市场中损失，因为我知道自己不稳定，所以都是小资金测试，这些债务主要都是拿来支持生活。那一段时间非常难熬，难以言表。”</p><p>“6 金融市场是一个充满诱惑的市场，每天有无数的机会，谈谈你是如何面对这些诱惑的？”</p><br><b>总结提炼：</b><br>风险焦点：暂停交易并考虑更换策略，而不是在回撤中继续放大风险。<br>检验方式：先定义最大可承受损失和触发后的动作，再考虑收益空间。<br>复盘提醒：风险边界应先于临场解释。<br><b>举例说明：</b><br><b>正面例子：</b>交易者围绕“回撤与策略”先按账户风险确定仓位与退出线，触发边界后暂停并复核系统，而不是用更大仓位摊平原判断；复盘时把损失归入规则、执行或仓位三个维度。<br><b>反面例子：</b>交易者不愿承认“回撤与策略”相关判断失效，持仓越亏越加码，把不下马当成纪律；最终让单次交易决定账户命运，也失去重新检验系统的资金余量。	交易的真相：从1000到1.83亿 附录 作者访谈 回撤与策略 决策规则 主动回忆
05_01_决策：围绕“新手的资金与职业边界”作出下一步操作前，交易者应先核对什么，并据此如何决定继续、缩小或放弃？	<b>核心答案：</b><br>能离开就离开；用最少资金验证稳定盈利；不稳定盈利三年不要专职交易。<br><b>原文引用：</b><p>“9 当你在一段时间很不顺，不断亏损，你会做些什么？会和平时有什么不同吗？”</p><p>“我在稳定盈利之前是一直都很不顺的，每天走路吃饭都在想着交易的事情，在外人看来就是什么也不干，经常走神。”</p><p>“盈利之后，其实不会发生在一段时间内很不顺的情况，在我而言，顶多一两天不顺。”</p><br><b>总结提炼：</b><br>风险焦点：能离开就离开；用最少资金验证稳定盈利；不稳定盈利三年不要专职交易。<br>检验方式：先定义最大可承受损失和触发后的动作，再考虑收益空间。<br>复盘提醒：风险边界应先于临场解释。<br><b>举例说明：</b><br><b>正面例子：</b>交易者围绕“新手的资金与职业边界”先按账户风险确定仓位与退出线，触发边界后暂停并复核系统，而不是用更大仓位摊平原判断；复盘时把损失归入规则、执行或仓位三个维度。<br><b>反面例子：</b>交易者不愿承认“新手的资金与职业边界”相关判断失效，持仓越亏越加码，把不下马当成纪律；最终让单次交易决定账户命运，也失去重新检验系统的资金余量。	交易的真相：从1000到1.83亿 附录 作者访谈 新手的资金与职业边界 应用判断 主动回忆
